0review_id,1review_title,2review_text,3review_rating,4review_date,5visit_date,6reviewer_country,7reviewer_level
review_382068408,“Amusing”,"Finally able to visit one of the places on my checklist. The whole place was amazing and the staff are very kind to take pictures for the visitors. However, I wish there were more rides to accommodate more people.
",5,2016-06-12,June 2016,NoCountry,03
review_382062239,“An interesting place to be definitely.”,"Since this was the first theme park I visited, it was quite interesting. The rides were experience in themselves, and the performances and the small shows in each park was added advantage. My only gripe with the place is that they don't have vegan or pure vegetarian food options, but otherwise it is an amazing place to be.
",4,2016-06-12,July 2015,India,03
review_382060835,“Queuing for 2 hours - no thanks ”,"Hard to enjoy a theme park when the lines are all between 45 and 120 minutes long. There is the option of buying a $50 express pass (in addition to the $70) entry, but it makes the day so expensive for what it is. Also the Rides need to be better organised
",2,2016-06-12,June 2016,NoCountry,03
review_382048606,“If you like waiting in lines go here”,"All very underwhelming as an experience. Staff seemed to be unhappy and very grumpy. Not the experience at Universal Studies would want to be linked to I am sure so not sure what has gone wrong with this franchise.The ""experiences"" seemed to be a little tired and in dire need of a refresh.Poor queue management to get through the turnstiles on arrival. Rather worrying was that there were no security checks on entry to the facility at all.Overpriced place to visit, but enough people seemed happy for pay for this.
",1,2016-06-12,June 2016,Ghana,06
review_382039185,“Spoil my mood”,"First thing, many rides were down. The food are overpriced. Staffs were unhelpful. I only enjoyed the roller coaster, churros and deffinitely the turkey leg. but came on a bad day.
",1,2016-06-12,May 2016,Singapore,01
review_381745333,“Awesome Fun”,"This was a great place to visit. Lots to see and do. The rides were awesome, ques weren't too bad. Only critisim is that staff aren't overly friendly and prices for drinks etc are expensive. You can find good that is amazing and reasonably priced. All in all a great day for both me and my son (15yrs) had a ball..... very clean and well organised.
",4,2016-06-11,June 2016,New Zealand,03
review_381638029,“Splendid Theme Park!”,"Bought a triple attraction ticket for SGD 110/-. This included the cable car sky network + S.E.A.Aquarium + Universal Studios : all unlimited rides. Universal Studios has 6 sections, namely : Madagascar, Far Far Away, The Lost World, Ancient Egypt, Sci-Fi city and New York. Each of these sections has many rides and attractions that will keep you at your wits end. A really unforgettable and enjoyable experience.Check the weather before going because some rides will not operate in inclement weather conditions.
",5,2016-06-11,June 2016,Sri Lanka,03
review_381584580,“USS Visit”,"Good to purchase the tickets before hand, some places do sell them at cheaper price eg. Changi Airport Attractions Counter, hostel, etc. Strongly advise to get Express tickets to save time queuing up, but Express tickets can only be purchased at USS. Do take note not all rides provide Express lane service, good news is most popular rides do.Long queues start to form waiting for entry into the park before the opening hour, fortunately they are cleared quite quickly once the park opens, so hang on and don't rush. Most thrilling rides : Transformers, Cyclone & Human Roller Coasters, Mummy.Children will love Madagascar & Sesame Street rides, and the Sesame Street musical show. The 4D Shrek show is worth watching. The ride on the Lost World will get you quite wet, including your shoes! Don't forget to go for the Steven Spielberg Studio, the entrance is not so prominent and inviting, but it certainly is a show not to be missed. You have to put all your bags and loose items in lockers for Rollor Coaster & Mummy rides, rental is free of charge for the first 55 minutes. But the locker at Lost World is chargeable at SGD$4.00 (yes, not free!). Duh... I cannot understand too.
",4,2016-06-11,June 2016,Singapore,02
review_381551708,“Great rides expensive food”,"Perhaps June is not the best time to come due to local school holidays. Quite a long wait for some rides others very quick. I recommend The Mummy and Transformer rides. The food once inside is varied but very expensive.
",4,2016-06-11,June 2016,Australia,06
review_381541183,“best attraction in sigapore”,"great attraction for all ages need atleast two days to visit it properly certified halal restaurants available inside also its a MUST visit place
",4,2016-06-11,May 2016,Pakistan,05
review_381532958,“This is a must when visiting Sentosa”,"USS is a place of wonderment and joy.... having never been to a movie themed park before, we found the experience one we will never forget. An express pass is a must if you only have one day to get around the park, it will make your experience more enjoyable.... BUT BE AWARE FOR LITTLE KIDS THE EXPRESS RIDE IS REALLY ONLY GOOD FOR SPAGHETTI RIDE/THE SHOW/MADAGASCAR, the ride near the Mummy ride, no longer has express which would be disappointing as it would be a littles winner. The other ride eg/ merry-go-round, always has seats.Grab an events of the day flyer and aim to be at Waterworld... grab lunch and take it in, its a great spot to watch and eat!! We love universal...
",5,2016-06-10,February 2016,NoCountry,05
review_381523014,“family visit”,"Universal studios is not very big, you could get around it twice in a day easily doing all the rides. We did not do the big roller coaster as we were with our young children, but we did most of the other rides, kids loved it and we had a good day out. Get the fast pass or by late afternoon you will take ages to get on the rides.
",4,2016-06-10,June 2016,United Arab Emirates,04
